,id,player_name,games,time,goals_season,xG_season,assists_season,xA_season,shots_season,key_passes_season,yellow_cards,red_cards,position,team_title,npg_season,npxG_season,xGChain,xGBuildup
275,92,Hiroki Sakai,29,2394,0,0.6292660944163799,1,1.3204512940719724,3,18,6,1,D S,Marseille,0,0.6292660944163799,8.238192955031991,7.6001396626234055
276,137,Anthony Modeste,7,289,0,0.6988366134464741,0,0.1398125011473894,8,3,1,0,F S,Saint-Etienne,0,0.6988366134464741,0.6427752934396267,0
277,414,Juan Bernat,3,197,0,0,0,0.08872079849243164,0,2,2,0,D S,Paris Saint Germain,0,0,1.6032399535179138,1.6032399535179138
278,494,Laurent Koscielny,26,2216,0,0.5846917033195496,2,1.2221748176962137,6,7,3,0,D S,Bordeaux,0,0.5846917033195496,4.568062294274569,4.568062294274569
279,551,Morgan Schneiderlin,28,2199,0,0.5607670871540904,0,0.6443807017058134,9,13,7,1,D M S,Nice,0,0.5607670871540904,7.142092455178499,6.6305320505052805
280,726,Vito Mannone,9,810,0,0,0,0,0,0,0,0,GK,Monaco,0,0,2.014021784067154,2.014021784067154
281,732,Yann M&#039;Vila,1,19,0,0,0,0,0,0,0,0,S,Saint-Etienne,0,0,0,0
282,1022,Pedro Chirivella,32,2279,0,0.4220547955483198,2,1.0354176899418235,9,17,4,0,M S,Nantes,0,0.4220547955483198,8.342092772945762,7.5104937218129635
283,1054,Bersant Celina,32,2299,0,1.306289404630661,5,3.8157336954027414,24,48,5,1,F M S,Dijon,0,1.306289404630661,6.1356883980333805,2.8187474999576807
284,1064,Sylvain Marveaux,9,195,0,0.7169346809387207,0,0.07247509062290192,5,2,0,0,M S,Lorient,0,0.7169346809387207,0.7691517807543278,0.36761609092354774
285,1111,Olivier Ntcham,4,120,0,0.06406579911708832,0,0,1,0,0,0,M S,Marseille,0,0.06406579911708832,0.20589019171893597,0.20589019171893597
286,1120,Mattia De Sciglio,29,1440,0,0.07049930095672607,1,1.1151166930794716,3,10,4,1,D S,Lyon,0,0.07049930095672607,6.620481412857771,6.307963840663433
287,1256,Kevin Strootman,11,213,0,0,0,0.16428760439157486,0,3,2,0,M S,Marseille,0,0,0.853116687387228,0.7355789877474308
288,1301,Daniele Rugani,1,90,0,0.042113300412893295,0,0,1,0,1,0,D,Rennes,0,0.042113300412893295,0.18292300403118134,0.14080999791622162
289,1326,Assane Diousse,1,1,0,0,0,0,0,0,0,0,S,Saint-Etienne,0,0,0,0
290,1455,Alfred Gomis,27,2430,0,0,0,0,0,0,1,0,GK,"Dijon,Rennes",0,0,2.6441279966384172,2.6441279966384172
291,1506,Yuto Nagatomo,25,1609,0,0.06644199974834919,1,0.3938756138086319,4,3,2,0,D M S,Marseille,0,0.06644199974834919,4.729237897321582,4.694089470431209
292,1670,Steve Mandanda,37,3330,0,0,0,0,0,0,1,0,GK,Marseille,0,0,4.489088736474514,4.489088736474514
293,1720,Didier Ndong,29,2610,0,0.14996399730443954,1,1.1398535147309303,6,10,7,0,M,Dijon,0,0.14996399730443954,5.070892211049795,3.9977893754839897
294,1752,Fabio,22,1511,0,0.3083765087649226,1,0.6353958947584033,8,11,3,1,D S,Nantes,0,0.3083765087649226,2.6631067683920264,1.8374959714710712
295,1784,Jérémy Pied,6,324,0,0.02534550055861473,0,0.45901069417595863,1,5,1,0,D S,Lille,0,0.02534550055861473,2.2095445953309536,2.0150965601205826
296,1920,Gabriel Silva,4,356,0,0,0,0.16772300004959106,0,3,1,0,D,Saint-Etienne,0,0,0.6143797971308231,0.5151048041880131
297,1932,Sanjin Prcic,14,332,0,0.16318390239030123,1,0.37677809223532677,7,7,1,0,M S,Strasbourg,0,0.16318390239030123,1.3967360872775316,1.2245857007801533
298,2063,Timothée Kolodziejczak,24,2040,0,0.7618916053324938,0,0.6006350889801979,10,3,4,1,D S,Saint-Etienne,0,0.7618916053324938,4.243131775408983,3.6983018536120653
299,2072,Sergio Rico,10,803,0,0,0,0,0,0,0,0,GK S,Paris Saint Germain,0,0,2.1673037260770798,2.1673037260770798
300,2100,Rafinha,23,1373,0,1.4839309891685843,4,2.9998466381803155,24,23,2,0,F M S,Paris Saint Germain,0,1.4839309891685843,10.962625877000391,7.799217761494219
301,2242,Rubén Pardo,2,17,0,0,0,0,0,0,0,0,S,Bordeaux,0,0,0,0
302,2243,Keylor Navas,29,2527,0,0,0,0,0,0,0,0,GK,Paris Saint Germain,0,0,7.291405141353607,7.291405141353607
303,2256,Jesé,2,19,0,0,0,0,0,0,0,0,S,Paris Saint Germain,0,0,0,0
304,2291,Pape Cheikh,21,1092,0,0.33074070140719414,0,0.3082402814179659,6,8,5,0,M S,Dijon,0,0.33074070140719414,1.9731977935880423,1.4761466011404991
305,2387,Danilo,4,250,0,0.10713870078325272,0,0.0991709977388382,2,1,2,0,D S,Nice,0,0.10713870078325272,0.24691049754619598,0.1477394998073578
306,2674,Thilo Kehrer,24,1603,0,0.40150459483265877,0,0.5768362786620855,6,3,3,0,D S,Paris Saint Germain,0,0.40150459483265877,7.732235508039594,7.07073756121099
307,2782,Moussa Doumbia,23,889,0,0.5107519021257758,1,2.2158556655049324,14,15,1,0,F M S,Reims,0,0.5107519021257758,2.9300629692152143,1.171782685443759
308,3118,Damien Le Tallec,23,1220,0,1.5025390107184649,0,0.3955674096941948,13,2,3,1,D M S,Montpellier,0,1.5025390107184649,2.581459306180477,2.1594181079417467
309,3201,Alban Lafont,38,3420,0,0,0,0,0,0,2,0,GK,Nantes,0,0,2.7999034440144897,2.7999034440144897
310,3218,Benoit Costil,38,3420,0,0,0,0,0,0,0,0,GK,Bordeaux,0,0,5.447529477998614,5.447529477998614
311,3223,Benjamin André,35,2924,0,0.9720325851812959,1,1.0247156843543053,20,21,10,0,M,Lille,0,0.9720325851812959,7.739161000587046,7.0102698830887675
312,3227,Ludovic Baal,7,295,0,0,0,0.38182980567216873,0,2,0,0,D S,Brest,0,0,1.0235473215579987,0.6417170073837042
313,3251,Paul Bernardoni,38,3420,0,0,0,0,0,0,1,0,GK,Angers,0,0,2.0874867290258408,2.0874867290258408
314,3269,Anthony Lopes,38,3420,0,0,0,0,0,0,2,0,GK,Lyon,0,0,7.2061023358255625,7.2061023358255625
315,3271,Jérémy Morel,28,2495,0,0.27456850185990334,0,0.12252759840339422,6,7,1,0,D M,Lorient,0,0.27456850185990334,2.7262740852311254,2.613594434224069
316,3275,Jordan Ferri,34,2609,0,0.09113640151917934,3,1.3749867277219892,4,22,6,0,M S,Montpellier,0,0.09113640151917934,8.793405744247139,8.035781337879598
317,3299,Jean-Kevin Augustin,3,30,0,0,0,0,0,0,0,0,S,Nantes,0,0,0,0
