iter	Passed	Remaining
654	6076	2643
655	6081	2632
656	6089	2622
657	6096	2612
658	6101	2601
659	6109	2591
660	6117	2582
661	6126	2572
662	6133	2562
663	6141	2552
664	6149	2542
665	6158	2533
666	6164	2523
667	6173	2513
668	6180	2503
669	6189	2494
670	6196	2484
671	6203	2473
672	6209	2463
673	6218	2454
674	6225	2444
675	6234	2434
676	6242	2425
677	6252	2416
678	6258	2405
679	6266	2395
680	6273	2385
681	6280	2376
682	6288	2366
683	6295	2356
684	6303	2346
685	6308	2335
686	6314	2325
687	6321	2315
688	6328	2305
689	6336	2295
690	6345	2286
691	6355	2277
692	6365	2268
693	6371	2258
694	6379	2249
695	6388	2239
696	6398	2230
697	6404	2220
698	6410	2210
699	6417	2200
700	6424	2190
701	6432	2180
702	6437	2170
703	6446	2161
704	6455	2151
705	6468	2143
706	6478	2135
707	6487	2125
708	6495	2116
709	6502	2106
710	6511	2097
711	6518	2087
712	6528	2078
713	6536	2068
714	6547	2060
715	6555	2050
716	6564	2041
717	6572	2032
718	6582	2023
719	6592	2014
720	6600	2004
721	6609	1995
722	6616	1985
723	6625	1976
724	6632	1966
725	6642	1957
726	6649	1948
727	6657	1938
728	6667	1929
729	6677	1920
730	6686	1911
731	6693	1901
732	6702	1892
733	6713	1884
734	6720	1874
735	6725	1864
736	6732	1854
737	6744	1845
738	6751	1836
739	6759	1826
740	6763	1816
741	6774	1807
742	6782	1798
743	6791	1789
744	6799	1779
745	6809	1770
746	6824	1763
747	6837	1755
748	6855	1748
749	6868	1739
750	6877	1730
751	6887	1721
752	6895	1712
753	6906	1703
754	6914	1694
755	6925	1685
756	6938	1677
757	6945	1667
758	6961	1660
759	6971	1651
760	6979	1641
761	6988	1632
762	6994	1622
763	7005	1613
764	7015	1604
765	7023	1595
766	7034	1586
767	7042	1577
768	7055	1568
769	7066	1560
770	7075	1550
771	7086	1542
772	7097	1533
773	7104	1523
774	7117	1515
775	7127	1506
776	7137	1497
777	7149	1488
778	7163	1480
779	7180	1472
780	7187	1463
781	7199	1454
782	7207	1445
783	7216	1435
784	7226	1426
785	7234	1417
786	7242	1408
787	7250	1398
788	7259	1389
789	7266	1379
790	7276	1370
791	7285	1361
792	7298	1353
793	7309	1344
794	7315	1334
795	7325	1325
796	7333	1315
797	7345	1307
798	7356	1298
799	7364	1288
800	7375	1279
801	7381	1270
802	7392	1261
803	7400	1251
804	7414	1243
805	7425	1234
806	7442	1226
807	7452	1217
808	7461	1208
809	7476	1199
810	7486	1190
811	7498	1182
812	7515	1173
813	7532	1166
814	7543	1156
815	7554	1147
816	7568	1139
817	7577	1130
818	7589	1121
819	7602	1112
820	7613	1103
821	7630	1095
822	7638	1085
823	7648	1076
824	7655	1067
825	7665	1057
826	7670	1048
827	7682	1039
828	7694	1030
829	7704	1021
830	7716	1012
831	7726	1002
832	7735	993
833	7745	984
834	7756	975
835	7766	966
836	7779	957
837	7792	948
838	7800	939
839	7812	930
840	7825	921
841	7830	911
842	7838	901
843	7847	892
844	7861	883
845	7872	874
846	7881	865
847	7892	856
848	7899	846
849	7910	837
850	7920	828
851	7928	818
852	7936	809
853	7943	799
854	7953	790
855	7959	781
856	7969	771
857	7977	762
858	7987	753
859	7994	743
860	8005	734
861	8011	724
862	8022	715
863	8029	706
864	8038	697
865	8046	687
866	8057	678
867	8066	669
868	8073	659
869	8082	650
870	8088	640
871	8098	631
872	8107	622
873	8119	613
874	8126	603
875	8138	594
876	8147	585
877	8163	576
878	8165	566
879	8171	557
880	8181	547
881	8190	538
882	8199	529
883	8207	519
884	8219	510
885	8227	501
886	8235	492
887	8243	482
888	8251	473
889	8261	464
890	8267	454
891	8278	445
892	8285	436
893	8287	426
894	8296	417
895	8303	407
896	8314	398
897	8321	389
898	8331	379
899	8341	370
900	8348	361
901	8356	352
902	8364	342
903	8370	333
904	8379	324
905	8386	314
906	8395	305
907	8402	296
908	8411	286
909	8418	277
910	8427	268
911	8434	258
912	8445	249
913	8452	240
914	8463	231
915	8472	221
916	8479	212
917	8491	203
918	8498	194
919	8509	184
920	8516	175
921	8524	166
922	8531	157
923	8540	147
924	8545	138
925	8555	129
926	8564	120
927	8574	110
928	8583	101
929	8592	92
930	8602	83
931	8611	73
932	8622	64
933	8629	55
934	8640	46
935	8648	36
936	8663	27
937	8679	18
938	8695	9
939	8711	0
